fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"1",21.9174,13.67157,52.05827,476.70331,34.73407,8.47202,26.26205,27.25786,16.67636,653.88153,128.2261,18.04615,57.59543,256.68024,74.50434,532,-98.634,24.678194
"2",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"3",11.95087,14.17299,69.31697,163.84288,22.15226,1.70562,20.44664,13.71136,10.03736,845.0899,189.27341,8.99832,93.38829,493.12189,30.43988,2885,-100.007222,19.776111
"4",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"5",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"6",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"7",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"8",21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5,-100.523055,28.7
"9",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"10",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"11",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"12",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"13",23.2049,11.85925,54.8716,358.26431,33.68587,12.07314,21.61273,26.87697,19.02755,1533.23474,327.6503,32.96829,77.64045,774.91852,105.96432,414.5,-98.946667,21.287222
"14",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"15",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"16",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"17",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"18",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"19",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"20",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"21",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"22",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"23",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"24",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"25",21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5,-100.523055,28.7
"26",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"27",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"28",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"29",21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5,-100.523055,28.7
"30",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"31",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"32",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"33",22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5,-99.146111,23.736111
"34",17.89199,13.07885,63.97687,262.86508,27.97941,7.53632,20.44309,20.63259,14.85172,764.59875,139.23689,11.53799,78.58633,400.8898,48.98615,1348,-99.229167,23.045278
